!12/12/2020.7:27:18.PM
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 1
!TRACE:       ,TRACE.1           
!PARAMETER:   ,S21               
!GRAPH:       ,REAL.IMAG         
!SMOOTHING:   ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,REAL1,IMAG1
1,2.000000000,-2.742792E-002,6.632096E-003
2,2.060000000,-3.508577E-002,-1.364847E-002
3,2.120000000,-4.467718E-002,8.182506E-003
4,2.180000000,-2.996697E-002,1.697088E-003
5,2.240000000,-4.207859E-002,3.706992E-003
6,2.300000000,-4.216430E-002,8.996869E-003
7,2.360000000,-4.728210E-002,2.164578E-002
8,2.420000000,-3.554685E-002,3.055512E-002
9,2.480000000,-3.035663E-002,3.003324E-002
10,2.540000000,-2.534997E-002,3.496187E-002
11,2.600000000,-2.753748E-002,3.272504E-002
12,2.660000000,-1.966725E-002,4.736188E-002
13,2.720000000,-9.979554E-003,4.383904E-002
14,2.780000000,-6.850213E-004,4.442172E-002
15,2.840000000,4.088927E-003,4.110755E-002
16,2.900000000,6.681464E-003,4.018071E-002
17,2.960000000,1.347058E-002,4.469207E-002
18,3.020000000,2.338808E-002,3.319107E-002
19,3.080000000,3.325953E-002,2.646967E-002
20,3.140000000,2.478223E-002,1.828323E-002
21,3.200000000,2.267199E-002,1.150199E-002
22,3.260000000,2.342190E-002,1.406775E-002
23,3.320000000,2.214319E-002,1.312916E-002
24,3.380000000,2.687927E-002,9.555649E-003
25,3.440000000,3.017167E-002,6.300700E-003
26,3.500000000,3.077486E-002,-1.898021E-003
27,3.560000000,2.696146E-002,-8.302166E-003
28,3.620000000,1.994147E-002,-1.491083E-002
29,3.680000000,1.639438E-002,-1.460387E-002
30,3.740000000,1.075732E-002,-1.622360E-002
31,3.800000000,2.240244E-003,-1.554456E-002
32,3.860000000,-3.933570E-004,-7.885245E-003
33,3.920000000,0.000000E+000,0.000000E+000
34,3.980000000,0.000000E+000,0.000000E+000
35,4.040000000,4.588866E-020,3.686335E-021
36,4.100000000,1.037367E-002,-9.882746E-003
37,4.160000000,6.086795E-003,-9.620030E-003
38,4.220000000,2.563818E-003,-7.536178E-003
39,4.280000000,0.000000E+000,0.000000E+000
40,4.340000000,0.000000E+000,0.000000E+000
41,4.400000000,-3.145825E-020,-4.551339E-020
42,4.460000000,4.144436E-020,3.172425E-020
43,4.520000000,0.000000E+000,0.000000E+000
44,4.580000000,0.000000E+000,0.000000E+000
45,4.640000000,0.000000E+000,0.000000E+000
46,4.700000000,4.164963E-020,-6.292039E-020
47,4.760000000,1.575311E-002,-1.856372E-002
48,4.820000000,7.680259E-003,-2.338905E-002
49,4.880000000,3.504572E-003,-2.606056E-002
