!12/12/2020.7:28:01.PM
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 1
!TRACE:       ,TRACE.1           
!PARAMETER:   ,S21               
!GRAPH:       ,REAL.IMAG         
!SMOOTHING:   ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,REAL1,IMAG1
1,2.000000000,-2.572084E-002,3.946348E-003
2,2.060000000,-3.839203E-002,-1.560717E-002
3,2.120000000,-4.314230E-002,8.932197E-003
4,2.180000000,-2.677123E-002,-1.719316E-003
5,2.240000000,-4.230953E-002,2.658259E-003
6,2.300000000,-3.729816E-002,4.848893E-003
7,2.360000000,-4.549570E-002,1.287942E-002
8,2.420000000,-4.023541E-002,1.917505E-002
9,2.480000000,-3.557111E-002,2.161650E-002
10,2.540000000,-3.522887E-002,2.969605E-002
11,2.600000000,-3.555687E-002,2.841191E-002
12,2.660000000,-3.231568E-002,4.036501E-002
13,2.720000000,-2.915769E-002,4.304702E-002
14,2.780000000,-2.074809E-002,5.062626E-002
15,2.840000000,-1.595727E-002,5.803180E-002
16,2.900000000,6.479632E-004,6.449638E-002
17,2.960000000,1.606402E-002,6.559405E-002
18,3.020000000,2.939916E-002,4.468525E-002
19,3.080000000,3.619033E-002,3.641006E-002
20,3.140000000,2.714045E-002,3.255362E-002
21,3.200000000,3.161805E-002,2.297819E-002
22,3.260000000,3.776688E-002,2.602111E-002
23,3.320000000,3.845624E-002,1.788426E-002
24,3.380000000,4.221543E-002,6.467166E-003
25,3.440000000,3.782946E-002,2.331108E-003
26,3.500000000,3.734177E-002,-2.395778E-003
27,3.560000000,3.595445E-002,-7.067589E-003
28,3.620000000,3.394353E-002,-1.544704E-002
29,3.680000000,3.211588E-002,-2.154742E-002
30,3.740000000,2.116478E-002,-2.608605E-002
31,3.800000000,1.272114E-002,-2.993327E-002
32,3.860000000,4.398661E-003,-2.666555E-002
33,3.920000000,-3.910540E-003,-1.987618E-002
34,3.980000000,-5.735939E-003,-1.613468E-002
35,4.040000000,-7.854507E-003,-9.957337E-003
36,4.100000000,-6.878686E-003,-3.230836E-003
37,4.160000000,-3.595511E-020,-3.529691E-020
38,4.220000000,-2.160425E-020,4.131638E-020
39,4.280000000,4.822276E-020,1.164983E-021
40,4.340000000,0.000000E+000,0.000000E+000
41,4.400000000,4.522884E-020,-3.142294E-020
42,4.460000000,1.197481E-002,-1.071815E-002
43,4.520000000,9.870326E-003,-1.219795E-002
44,4.580000000,1.095514E-002,-1.098185E-002
45,4.640000000,8.242381E-003,-1.567761E-002
46,4.700000000,9.816960E-003,-1.684697E-002
47,4.760000000,7.375082E-003,-2.002436E-002
48,4.820000000,2.558240E-003,-2.209998E-002
49,4.880000000,-4.034961E-004,-2.560736E-002
50,4.940000000,-3.672424E-003,-2.425603E-002
51,5.000000000,-7.984441E-003,-2.311404E-002
52,5.060000000,-1.190602E-002,-2.474963E-002
53,5.120000000,-1.506262E-002,-2.186387E-002
54,5.180000000,-1.803290E-002,-1.900244E-002
55,5.240000000,-2.149480E-002,-1.705358E-002
