!12/12/2020.7:26:20.PM
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 1
!TRACE:       ,TRACE.1           
!PARAMETER:   ,S21               
!GRAPH:       ,REAL.IMAG         
!SMOOTHING:   ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,REAL1,IMAG1
1,2.000000000,-2.314772E-002,-9.695325E-005
2,2.060000000,-3.730818E-002,-1.944347E-002
3,2.120000000,-4.628793E-002,5.110091E-003
4,2.180000000,-2.919390E-002,-4.656139E-003
5,2.240000000,-4.583224E-002,4.840699E-004
6,2.300000000,-4.302079E-002,7.362199E-003
7,2.360000000,-4.542407E-002,1.631602E-002
8,2.420000000,-3.938095E-002,1.813461E-002
9,2.480000000,-3.995056E-002,1.996539E-002
10,2.540000000,-4.197899E-002,2.916946E-002
11,2.600000000,-4.418772E-002,3.556287E-002
12,2.660000000,-3.117318E-002,5.423616E-002
13,2.720000000,-2.058226E-002,5.244903E-002
14,2.780000000,-1.029531E-002,5.542927E-002
15,2.840000000,-4.072058E-003,5.451389E-002
16,2.900000000,7.423047E-003,5.626149E-002
17,2.960000000,1.693937E-002,5.574058E-002
18,3.020000000,2.438222E-002,3.891667E-002
19,3.080000000,2.851807E-002,3.601198E-002
20,3.140000000,2.405377E-002,3.759215E-002
21,3.200000000,3.323809E-002,2.852987E-002
22,3.260000000,4.324200E-002,2.999772E-002
23,3.320000000,4.417330E-002,1.781200E-002
24,3.380000000,4.760963E-002,4.721787E-003
25,3.440000000,4.557083E-002,-1.990310E-003
26,3.500000000,4.396950E-002,-1.124593E-002
27,3.560000000,3.699123E-002,-2.253155E-002
28,3.620000000,2.319402E-002,-3.179705E-002
29,3.680000000,1.147511E-002,-2.869848E-002
30,3.740000000,2.570131E-003,-2.027693E-002
31,3.800000000,2.154047E-003,-1.463064E-002
32,3.860000000,3.978558E-003,-1.229858E-002
33,3.920000000,-1.701669E-003,-1.404121E-002
34,3.980000000,-6.252788E-003,-7.993582E-003
35,4.040000000,0.000000E+000,0.000000E+000
36,4.100000000,1.614007E-020,4.130496E-020
37,4.160000000,0.000000E+000,0.000000E+000
38,4.220000000,2.136386E-020,-4.161119E-020
39,4.280000000,-1.169321E-021,4.821007E-020
40,4.340000000,1.403721E-002,-1.324902E-003
41,4.400000000,1.912696E-002,-8.339725E-003
42,4.460000000,1.368994E-002,-1.569453E-002
43,4.520000000,8.260750E-003,-1.917151E-002
44,4.580000000,6.121304E-003,-1.405210E-002
45,4.640000000,5.920675E-003,-1.498222E-002
46,4.700000000,8.000636E-003,-1.785619E-002
47,4.760000000,4.881448E-003,-2.109325E-002
48,4.820000000,-1.723673E-003,-2.075604E-002
49,4.880000000,-3.246131E-003,-2.102246E-002
50,4.940000000,-1.957601E-003,-1.961431E-002
51,5.000000000,-5.931505E-003,-2.105063E-002
52,5.060000000,-1.028796E-002,-2.363694E-002
