!12/12/2020.7:26:23.PM
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 1
!TRACE:       ,TRACE.1           
!PARAMETER:   ,S21               
!GRAPH:       ,REAL.IMAG         
!SMOOTHING:   ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,REAL1,IMAG1
1,2.000000000,-2.300727E-002,-9.381720E-004
2,2.060000000,-3.794288E-002,-2.006434E-002
3,2.120000000,-4.757800E-002,4.355131E-003
4,2.180000000,-3.112935E-002,-3.513902E-003
5,2.240000000,-4.426230E-002,4.571534E-003
6,2.300000000,-4.048884E-002,6.565862E-003
7,2.360000000,-4.503036E-002,1.574221E-002
8,2.420000000,-3.698599E-002,1.874348E-002
9,2.480000000,-3.759689E-002,1.741300E-002
10,2.540000000,-4.022004E-002,2.483209E-002
11,2.600000000,-4.549241E-002,2.998187E-002
12,2.660000000,-3.591138E-002,5.113630E-002
13,2.720000000,-2.627499E-002,5.111857E-002
14,2.780000000,-1.480481E-002,5.731293E-002
15,2.840000000,-7.883198E-003,5.672854E-002
16,2.900000000,4.015471E-003,6.050616E-002
17,2.960000000,1.665817E-002,6.205114E-002
18,3.020000000,2.732972E-002,4.284533E-002
19,3.080000000,3.327286E-002,3.767981E-002
20,3.140000000,2.734634E-002,3.744589E-002
21,3.200000000,3.517872E-002,2.761185E-002
22,3.260000000,4.497151E-002,2.811555E-002
23,3.320000000,4.487454E-002,1.589368E-002
24,3.380000000,4.692997E-002,2.336300E-003
25,3.440000000,4.347042E-002,-2.956232E-003
26,3.500000000,4.233040E-002,-1.063647E-002
27,3.560000000,3.617520E-002,-2.093197E-002
28,3.620000000,2.387581E-002,-2.981933E-002
29,3.680000000,1.350532E-002,-2.832814E-002
30,3.740000000,3.423719E-003,-2.142067E-002
31,3.800000000,1.224484E-003,-1.518981E-002
32,3.860000000,3.377662E-003,-1.048646E-002
33,3.920000000,1.558753E-003,-1.280215E-002
34,3.980000000,-3.503732E-003,-1.203359E-002
35,4.040000000,-6.659587E-003,-2.229817E-003
36,4.100000000,1.618605E-020,4.131532E-020
37,4.160000000,0.000000E+000,0.000000E+000
38,4.220000000,4.159011E-020,2.139280E-020
39,4.280000000,0.000000E+000,0.000000E+000
