!12/12/2020.6:02:53.PM
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 1
!TRACE:       ,TRACE.1           
!PARAMETER:   ,S21               
!GRAPH:       ,REAL.IMAG         
!SMOOTHING:   ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,REAL1,IMAG1
1,2.000000000,-3.536563E-002,-4.988241E-003
2,2.060000000,-4.130820E-002,-2.304399E-002
3,2.120000000,-5.188563E-002,-4.561332E-003
4,2.180000000,-3.737311E-002,-8.597787E-003
5,2.240000000,-6.019300E-002,-1.870761E-003
6,2.300000000,-5.204641E-002,8.494837E-003
7,2.360000000,-5.275417E-002,1.765604E-002
8,2.420000000,-5.159059E-002,2.031537E-002
9,2.480000000,-4.453629E-002,3.021651E-002
10,2.540000000,-4.727685E-002,3.749056E-002
11,2.600000000,-4.470539E-002,4.273506E-002
12,2.660000000,-3.502205E-002,5.554508E-002
13,2.720000000,-2.936189E-002,6.300351E-002
14,2.780000000,-1.148273E-002,6.933077E-002
15,2.840000000,-9.594020E-004,6.799329E-002
16,2.900000000,1.584119E-002,6.591609E-002
17,2.960000000,2.447276E-002,6.300261E-002
18,3.020000000,3.445109E-002,4.895572E-002
19,3.080000000,4.922052E-002,3.922056E-002
20,3.140000000,4.194316E-002,3.137033E-002
21,3.200000000,4.495408E-002,1.498874E-002
22,3.260000000,4.931399E-002,1.229397E-002
23,3.320000000,4.373147E-002,4.540194E-003
24,3.380000000,4.163936E-002,-5.833704E-003
25,3.440000000,3.665277E-002,-9.521137E-003
26,3.500000000,3.157546E-002,-1.608359E-002
27,3.560000000,2.550404E-002,-1.914800E-002
28,3.620000000,1.994771E-002,-1.995236E-002
29,3.680000000,1.669996E-002,-2.036362E-002
30,3.740000000,1.073404E-002,-2.032606E-002
31,3.800000000,5.946453E-003,-1.858513E-002
32,3.860000000,3.994055E-003,-1.766690E-002
33,3.920000000,-2.316449E-003,-1.371806E-002
34,3.980000000,-2.147328E-003,-1.028217E-002
35,4.040000000,-3.570124E-004,-8.563560E-003
36,4.100000000,0.000000E+000,0.000000E+000
37,4.160000000,3.525442E-020,-3.562974E-020
38,4.220000000,0.000000E+000,0.000000E+000
39,4.280000000,0.000000E+000,0.000000E+000
40,4.340000000,0.000000E+000,0.000000E+000
41,4.400000000,3.139485E-020,4.525041E-020
42,4.460000000,0.000000E+000,0.000000E+000
43,4.520000000,0.000000E+000,0.000000E+000
44,4.580000000,7.638985E-020,-5.704148E-021
45,4.640000000,0.000000E+000,0.000000E+000
46,4.700000000,0.000000E+000,0.000000E+000
47,4.760000000,2.641928E-020,-7.772890E-020
48,4.820000000,0.000000E+000,0.000000E+000
49,4.880000000,2.230930E-003,-2.312874E-002
50,4.940000000,4.610165E-004,-2.161564E-002
51,5.000000000,-4.072193E-003,-2.245791E-002
52,5.060000000,-8.061672E-003,-2.479251E-002
53,5.120000000,-1.151131E-002,-2.334605E-002
54,5.180000000,-1.491589E-002,-2.145788E-002
55,5.240000000,-1.905270E-002,-2.042956E-002
56,5.300000000,-2.234837E-002,-1.788906E-002
57,5.360000000,-2.503734E-002,-1.432967E-002
58,5.420000000,-2.802835E-002,-1.008091E-002
59,5.480000000,-2.967147E-002,-6.175007E-003
60,5.540000000,-3.170262E-002,-1.867455E-003
61,5.600000000,-3.123293E-002,3.082668E-003
62,5.660000000,-2.983960E-002,8.585986E-003
63,5.720000000,-2.868551E-002,1.299095E-002
64,5.780000000,-2.694404E-002,1.736386E-002
65,5.840000000,-2.457744E-002,2.093934E-002
66,5.900000000,-2.010797E-002,2.377961E-002
67,5.960000000,-1.553863E-002,2.882758E-002
68,6.020000000,-1.285548E-002,3.042311E-002
69,6.080000000,-7.267366E-003,3.027153E-002
70,6.140000000,-9.998675E-004,3.149620E-002
71,6.200000000,3.070524E-003,3.207863E-002
72,6.260000000,8.613650E-003,3.188628E-002
73,6.320000000,1.178554E-002,2.810743E-002
74,6.380000000,1.849302E-002,2.292002E-002
75,6.440000000,2.324810E-002,2.223170E-002
76,6.500000000,2.127302E-002,1.791214E-002
77,6.560000000,2.590714E-002,8.531729E-003
78,6.620000000,2.805736E-002,5.339396E-003
79,6.680000000,2.461010E-002,4.323199E-004
80,6.740000000,2.119084E-002,-4.327920E-003
81,6.800000000,1.890184E-002,-7.393682E-003
82,6.860000000,1.747790E-002,-8.807497E-003
83,6.920000000,1.370492E-002,-9.626251E-003
84,6.980000000,9.782417E-003,-1.186413E-002
85,7.040000000,8.285270E-003,-1.238076E-002
86,7.100000000,0.000000E+000,0.000000E+000
87,7.160000000,0.000000E+000,0.000000E+000
88,7.220000000,0.000000E+000,0.000000E+000
89,7.280000000,0.000000E+000,0.000000E+000
90,7.340000000,0.000000E+000,0.000000E+000
91,7.400000000,6.534991E-020,-3.121799E-020
92,7.460000000,5.070053E-020,-4.793664E-020
93,7.520000000,2.974772E-020,-6.367744E-020
94,7.580000000,-7.206322E-020,-1.204206E-020
95,7.640000000,-7.103574E-020,1.287795E-020
96,7.700000000,0.000000E+000,0.000000E+000
97,7.760000000,5.796716E-020,5.000607E-020
98,7.820000000,0.000000E+000,0.000000E+000
99,7.880000000,0.000000E+000,0.000000E+000
100,7.940000000,0.000000E+000,0.000000E+000
101,8.000000000,7.501216E-020,-4.106085E-020
102,8.060000000,0.000000E+000,0.000000E+000
103,8.120000000,0.000000E+000,0.000000E+000
104,8.180000000,4.150801E-020,-1.756792E-020
105,8.240000000,5.136577E-020,6.769418E-021
106,8.300000000,0.000000E+000,0.000000E+000
107,8.360000000,5.106423E-020,-2.523960E-020
108,8.420000000,7.209853E-022,-5.666621E-020
109,8.480000000,0.000000E+000,0.000000E+000
110,8.540000000,-3.535858E-020,-5.656855E-020
111,8.600000000,0.000000E+000,0.000000E+000
112,8.660000000,6.375531E-020,2.364074E-020
113,8.720000000,-6.411036E-003,-1.534705E-002
114,8.780000000,-8.801745E-003,-1.641732E-002
115,8.840000000,-1.155936E-002,-1.416992E-002
116,8.900000000,-1.550158E-002,-1.156459E-002
117,8.960000000,-1.599836E-002,-8.567627E-003
118,9.020000000,-1.864819E-002,-5.581444E-003
119,9.080000000,-1.828506E-002,-3.240361E-003
120,9.140000000,-1.702369E-002,1.546003E-003
121,9.200000000,-1.885756E-002,2.938695E-003
122,9.260000000,-1.533278E-002,5.468005E-003
123,9.320000000,-1.494957E-002,8.499769E-003
124,9.380000000,-1.407192E-002,8.336451E-003
125,9.440000000,-1.114310E-002,1.264244E-002
126,9.500000000,-9.492044E-003,1.267727E-002
127,9.560000000,-8.830978E-003,1.372827E-002
128,9.620000000,-6.367290E-003,1.609317E-002
129,9.680000000,-3.076235E-003,1.591905E-002
130,9.740000000,-1.301532E-003,1.695462E-002
131,9.800000000,1.409980E-003,1.561399E-002
132,9.860000000,5.357198E-003,1.424957E-002
133,9.920000000,5.331395E-003,1.484970E-002
134,9.980000000,7.879359E-003,1.209391E-002
135,10.040000000,9.929673E-003,1.054650E-002
136,10.100000000,9.086815E-003,9.651139E-003
137,10.160000000,1.143160E-002,6.117609E-003
138,10.220000000,1.254774E-002,5.910608E-003
139,10.280000000,1.212366E-002,3.706887E-003
140,10.340000000,1.234055E-002,7.319309E-004
141,10.400000000,1.101744E-002,6.767560E-004
