!12/12/2020.7:25:01.PM
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 1
!TRACE:       ,TRACE.1           
!PARAMETER:   ,S21               
!GRAPH:       ,REAL.IMAG         
!SMOOTHING:   ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,REAL1,IMAG1
1,2.000000000,-2.471568E-002,-3.255349E-003
2,2.060000000,-4.405814E-002,-2.303662E-002
3,2.120000000,-5.206204E-002,3.028426E-003
4,2.180000000,-4.054818E-002,-6.665017E-003
5,2.240000000,-6.008661E-002,5.965445E-003
6,2.300000000,-5.153491E-002,1.210959E-002
7,2.360000000,-5.966327E-002,2.186700E-002
8,2.420000000,-6.214072E-002,3.164394E-002
9,2.480000000,-4.652825E-002,5.104579E-002
10,2.540000000,-3.733542E-002,6.098987E-002
11,2.600000000,-2.996394E-002,5.575498E-002
12,2.660000000,-1.470681E-002,6.920988E-002
13,2.720000000,-1.086611E-002,6.938902E-002
14,2.780000000,1.007695E-002,7.062054E-002
15,2.840000000,2.055141E-002,6.603555E-002
16,2.900000000,3.430263E-002,5.800021E-002
17,2.960000000,4.556535E-002,5.811399E-002
18,3.020000000,5.367045E-002,3.538138E-002
19,3.080000000,6.642402E-002,1.575612E-002
20,3.140000000,5.727920E-002,9.709129E-003
21,3.200000000,4.750238E-002,-1.168444E-002
22,3.260000000,4.433278E-002,-1.645374E-002
23,3.320000000,3.656480E-002,-1.667064E-002
24,3.380000000,2.901877E-002,-2.934644E-002
25,3.440000000,1.941022E-002,-2.960043E-002
26,3.500000000,1.069618E-002,-2.903832E-002
27,3.560000000,5.084120E-003,-2.797919E-002
28,3.620000000,-5.452655E-003,-2.467472E-002
29,3.680000000,-1.295870E-002,-2.048075E-002
30,3.740000000,-1.603279E-002,-1.115693E-002
31,3.800000000,-1.744516E-002,1.328812E-003
32,3.860000000,-1.347743E-002,8.986383E-003
33,3.920000000,-2.336010E-004,1.516159E-002
34,3.980000000,6.206533E-003,1.312812E-002
35,4.040000000,1.129852E-002,6.447509E-003
36,4.100000000,1.379585E-002,3.520325E-003
37,4.160000000,1.814654E-002,7.289997E-004
38,4.220000000,1.400645E-002,-7.729252E-003
39,4.280000000,1.136262E-002,-1.192440E-002
40,4.340000000,3.918535E-003,-1.139341E-002
41,4.400000000,2.781519E-003,-7.318877E-003
42,4.460000000,0.000000E+000,0.000000E+000
43,4.520000000,0.000000E+000,0.000000E+000
44,4.580000000,0.000000E+000,0.000000E+000
45,4.640000000,0.000000E+000,0.000000E+000
46,4.700000000,4.255788E-020,-6.323394E-020
47,4.760000000,0.000000E+000,0.000000E+000
48,4.820000000,7.582852E-003,-2.150927E-002
49,4.880000000,2.479911E-003,-2.861693E-002
50,4.940000000,-3.328893E-003,-2.536727E-002
51,5.000000000,-1.001536E-002,-2.245244E-002
52,5.060000000,-1.159031E-002,-2.212671E-002
53,5.120000000,-1.322507E-002,-2.108811E-002
54,5.180000000,-1.775193E-002,-1.948355E-002
55,5.240000000,-2.203104E-002,-1.693638E-002
56,5.300000000,-2.568683E-002,-1.523487E-002
57,5.360000000,-2.813348E-002,-9.229136E-003
58,5.420000000,-2.975605E-002,-3.400178E-003
59,5.480000000,-3.060649E-002,8.269156E-004
60,5.540000000,-3.055111E-002,6.422185E-003
61,5.600000000,-2.874710E-002,1.262908E-002
62,5.660000000,-2.299848E-002,1.745332E-002
63,5.720000000,-1.962106E-002,1.893919E-002
64,5.780000000,-1.674632E-002,2.060430E-002
65,5.840000000,-1.448911E-002,2.168707E-002
66,5.900000000,-1.161178E-002,2.226410E-002
67,5.960000000,-8.222354E-003,2.663705E-002
68,6.020000000,-4.615779E-003,2.797659E-002
69,6.080000000,1.936070E-004,2.626118E-002
70,6.140000000,6.266417E-003,2.657268E-002
71,6.200000000,9.458506E-003,2.467997E-002
72,6.260000000,1.354826E-002,2.215192E-002
73,6.320000000,1.382282E-002,1.923626E-002
74,6.380000000,1.726871E-002,1.480287E-002
75,6.440000000,2.250468E-002,1.434039E-002
76,6.500000000,1.937935E-002,1.089965E-002
77,6.560000000,2.239308E-002,3.168274E-003
78,6.620000000,2.423892E-002,7.954641E-004
79,6.680000000,2.080283E-002,-2.639398E-003
80,6.740000000,1.867960E-002,-7.231588E-003
81,6.800000000,1.570347E-002,-1.050057E-002
82,6.860000000,1.340867E-002,-1.231855E-002
83,6.920000000,1.017846E-002,-1.194839E-002
84,6.980000000,4.981344E-003,-1.319297E-002
85,7.040000000,3.536552E-003,-1.275617E-002
86,7.100000000,-2.263485E-020,-8.924911E-020
87,7.160000000,0.000000E+000,0.000000E+000
88,7.220000000,4.981611E-020,-7.374594E-020
89,7.280000000,1.562642E-020,-7.671984E-020
90,7.340000000,-6.639527E-020,9.676588E-021
91,7.400000000,6.478092E-020,-3.078102E-020
92,7.460000000,0.000000E+000,0.000000E+000
93,7.520000000,-6.301156E-020,-3.013061E-020
94,7.580000000,0.000000E+000,0.000000E+000
95,7.640000000,0.000000E+000,0.000000E+000
96,7.700000000,-6.672255E-020,3.828527E-020
97,7.760000000,-5.035807E-020,5.757518E-020
98,7.820000000,-2.983008E-020,7.093858E-020
99,7.880000000,-7.393458E-020,-6.949081E-021
100,7.940000000,2.154920E-020,7.791929E-020
101,8.000000000,4.125075E-020,7.514396E-020
102,8.060000000,0.000000E+000,0.000000E+000
103,8.120000000,-3.455732E-020,4.293661E-020
104,8.180000000,0.000000E+000,0.000000E+000
105,8.240000000,0.000000E+000,0.000000E+000
106,8.300000000,2.878783E-020,-4.380469E-020
107,8.360000000,0.000000E+000,0.000000E+000
108,8.420000000,5.647366E-020,7.667991E-022
109,8.480000000,9.186174E-003,-1.508992E-002
110,8.540000000,5.933931E-003,-1.464570E-002
111,8.600000000,1.431019E-003,-1.738653E-002
112,8.660000000,1.124775E-003,-2.034855E-002
113,8.720000000,-4.883882E-003,-1.716902E-002
114,8.780000000,-1.025733E-002,-1.942481E-002
115,8.840000000,-1.244805E-002,-1.634797E-002
116,8.900000000,-1.664169E-002,-1.354966E-002
117,8.960000000,-1.955415E-002,-1.103483E-002
118,9.020000000,-2.293308E-002,-5.607561E-003
119,9.080000000,-2.357985E-002,-3.597379E-004
120,9.140000000,-2.050180E-002,6.183281E-003
121,9.200000000,-2.161136E-002,1.030449E-002
122,9.260000000,-1.426615E-002,1.205301E-002
123,9.320000000,-1.040684E-002,1.510534E-002
124,9.380000000,-9.088431E-003,1.422709E-002
125,9.440000000,-5.384295E-003,1.350954E-002
126,9.500000000,-4.821736E-003,1.314483E-002
127,9.560000000,-3.413690E-003,1.362174E-002
128,9.620000000,-1.923982E-003,1.473887E-002
129,9.680000000,5.375528E-004,1.445885E-002
130,9.740000000,3.496673E-003,1.351805E-002
131,9.800000000,5.290396E-003,1.312698E-002
132,9.860000000,8.666771E-003,1.067448E-002
133,9.920000000,8.403177E-003,9.909392E-003
134,9.980000000,8.203791E-003,6.940811E-003
135,10.040000000,9.240535E-003,5.535600E-003
136,10.100000000,8.171285E-003,5.796170E-003
137,10.160000000,8.498891E-003,3.559042E-003
138,10.220000000,9.851635E-003,3.434296E-003
139,10.280000000,9.072556E-003,2.242982E-003
140,10.340000000,1.033543E-002,7.992837E-004
141,10.400000000,1.058892E-002,-5.848393E-004
142,10.460000000,1.007295E-002,-2.975285E-003
143,10.520000000,9.204759E-003,-4.728015E-003
144,10.580000000,7.121359E-003,-5.806438E-003
145,10.640000000,5.750928E-003,-6.387834E-003
146,10.700000000,5.606013E-020,-5.898911E-021
147,10.760000000,2.024737E-020,-4.720125E-020
148,10.820000000,0.000000E+000,0.000000E+000
149,10.880000000,0.000000E+000,0.000000E+000
150,10.940000000,1.783747E-020,-4.894340E-020
151,11.000000000,4.144960E-020,-2.687386E-020
152,11.060000000,4.378608E-020,-4.016687E-021
153,11.120000000,5.251140E-020,2.454359E-020
154,11.180000000,0.000000E+000,0.000000E+000
155,11.240000000,5.199660E-020,-1.029611E-020
156,11.300000000,2.675272E-020,-4.988112E-020
157,11.360000000,4.903263E-020,-3.755212E-020
158,11.420000000,-6.642882E-020,8.866995E-021
159,11.480000000,0.000000E+000,0.000000E+000
160,11.540000000,-5.789845E-020,-6.012497E-020
161,11.600000000,0.000000E+000,0.000000E+000
162,11.660000000,-8.234104E-020,-1.001737E-020
163,11.720000000,0.000000E+000,0.000000E+000
164,11.780000000,0.000000E+000,0.000000E+000
165,11.840000000,0.000000E+000,0.000000E+000
166,11.900000000,-5.778286E-020,-3.871400E-020
167,11.960000000,0.000000E+000,0.000000E+000
168,12.020000000,0.000000E+000,0.000000E+000
169,12.080000000,-6.844030E-020,-1.442676E-020
170,12.140000000,0.000000E+000,0.000000E+000
171,12.200000000,-3.251067E-020,-7.204131E-020
172,12.260000000,0.000000E+000,0.000000E+000
173,12.320000000,0.000000E+000,0.000000E+000
174,12.380000000,-5.530667E-020,-8.572658E-020
175,12.440000000,0.000000E+000,0.000000E+000
176,12.500000000,0.000000E+000,0.000000E+000
177,12.560000000,0.000000E+000,0.000000E+000
178,12.620000000,0.000000E+000,0.000000E+000
179,12.680000000,0.000000E+000,0.000000E+000
180,12.740000000,0.000000E+000,0.000000E+000
